"propertyId","accountId_anonymized","meterType","startDate","endDate","consumptionGj","cost","ghgEmissionsKg","consumptionExpected","hdd","cdd","meterId"
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-01-01 00:00:00","2021-01-31 00:00:00","12013.00308","138445.42","1008133.541","0","736.2","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-02-01 00:00:00","2021-02-28 00:00:00","11558.25138","145390.1","969970.6907","0","680.6","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-03-01 00:00:00","2021-03-31 00:00:00","10228.63803","128487.25","858389.2812","0","537.8","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-04-01 00:00:00","2021-04-30 00:00:00","5534.11404","92041.32","464423.9203","0","273.2","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-05-01 00:00:00","2021-05-31 00:00:00","241.35852","15017.69","20254.85367","0","126.9","37",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-06-01 00:00:00","2021-06-30 00:00:00","0","12373.51","0","0","4.2","123.8",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-07-01 00:00:00","2021-07-31 00:00:00","0","12373.51","0","0","6.2","93.3",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-08-01 00:00:00","2021-08-31 00:00:00","0","12373.51","0","0","0.4","193.2",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-09-01 00:00:00","2021-09-30 00:00:00","0","12373.51","0","0","29.1","28.5",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-10-01 00:00:00","2021-10-31 00:00:00","55.4268","12999.09","4651.427773","0","171.9","3.2",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-11-01 00:00:00","2021-11-30 00:00:00","3279.50298","53858.61","275216.5242","0","442.4","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2021-12-01 00:00:00","2021-12-31 00:00:00","5183.41356","73999.26","434993.0682","0","644.3","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-01-01 00:00:00","2022-01-31 00:00:00","7569.41133","105717.59","635226.4624","15378.54328","935.1","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-02-01 00:00:00","2022-02-28 00:00:00","6473.97621","88672.82","543297.3353","11973.3447","704.1","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-03-01 00:00:00","2022-03-31 00:00:00","5858.99067","89244.79","491687.6299","11008.44842","576.8","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-04-01 00:00:00","2022-04-30 00:00:00","3614.45721","4987.49","303325.9479","7017.608962","339.4","0",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-05-01 00:00:00","2022-05-31 00:00:00","403.98579","20542.28","33902.56561","142.0875628","85.5","44.1",224
25,"e08599ba76fe6afa2b5786d857b0f56e","steam","2022-06-01 00:00:00","2022-06-30 00:00:00","0","13004.52","0","0","20.9","51.7",224
